New Jersey Pinelands,pine,National Reserve,NJ,39.9384,-74.625
New Orleans Jazz,jazz,National Historical Park,LA,29.96303129,-90.06749669
New Philadelphia,neph,National Historic Site,IL,39.69803,-90.96131
New River Gorge,neri,National Park & Preserve,WV,37.86878554,-80.99956002
Nez Perce,nepe,National Historical Park,"ID,MT,OR,WA",46.07019093,-115.8761258
Nicodemus,nico,National Historic Site,KS,39.39167606,-99.61680329
Ninety Six,nisi,National Historic Site,SC,34.14273587,-82.01636079
Niobrara,niob,National Scenic River,NE,42.79413083,-99.91870646
Noatak,noat,National Preserve,AK,68.01027053,-159.831694
North Cascades,noca,National Park,WA,48.71171756,-121.2069423
North Country,noco,National Scenic Trail,"MI,MN,ND,NY,OH,PA,VT,WI",46.334400743,-90.8165630499
Obed,obed,Wild & Scenic River,TN,36.1056026037,-84.5979170501
Ocmulgee Mounds,ocmu,National Historical Park,GA,32.83816576,-83.60224853
Oklahoma City,okci,National Memorial,OK,35.473,-97.5171
Old Spanish,olsp,National Historic Trail,"AZ,CA,CO,NV,NM,UT",37.0791782514,-112.114693431
Olympic,olym,National Park,WA,47.80392754,-123.6663848
Oregon Caves,orca,National Monument & Preserve,OR,42.10319143,-123.4018586
Oregon,oreg,National Historic Trail,"ID,KS,MO,NE,OR,WA,WY",41.9876977831,-109.634200841
Organ Pipe Cactus,orpi,National Monument,AZ,32.03585543,-112.8573314
Overmountain Victory,ovvi,National Historic Trail,"NC,SC,TN,VA",35.14044,-81.377
Oxon Cove Park & Oxon Hill Farm,oxhi,,MD,38.80578214,-77.01131457
Ozark,ozar,National Scenic Riverways,MO,37.13968894,-91.25709817
Padre Island,pais,National Seashore,TX,27.05381186,-97.35901135
Palo Alto Battlefield,paal,National Historical Park,TX,26.02387351,-97.46296072
Paterson Great Falls,pagr,National Historical Park,NJ,40.91584645,-74.18021494
Pea Ridge,peri,National Military Park,AR,36.45438033,-94.03468357
Pearl Harbor,valr,National Memorial,HI,21.3670699388,-157.938578898
